site_id,customer,climate,dust_level,shift_pattern,altitude_m
S04231,K0423,temperate,medium,1-shift,590
S04232,K0423,temperate,medium,2-shift,1280
S04233,K0423,hot,medium,2-shift,680
S04241,K0424,temperate,low,2-shift,1010
S04251,K0425,temperate,high,3-shift,850
S04252,K0425,hot,high,3-shift,0
S04261,K0426,hot,low,1-shift,630
S04262,K0426,temperate,low,3-shift,1020
S04263,K0426,temperate,high,1-shift,1110
S04271,K0427,temperate,low,3-shift,340
S04281,K0428,temperate,medium,1-shift,270
S04291,K0429,hot,low,3-shift,390
S04301,K0430,temperate,medium,1-shift,1120
S04311,K0431,hot,high,1-shift,180
S04312,K0431,hot,high,2-shift,1350
S04313,K0431,hot,medium,1-shift,1700
S04321,K0432,temperate,medium,1-shift,1760
S04322,K0432,hot,low,1-shift,1260
S04331,K0433,temperate,high,3-shift,90
S04341,K0434,hot,low,1-shift,1050
S04342,K0434,hot,high,1-shift,730
S04351,K0435,temperate,medium,3-shift,820
S04361,K0436,temperate,high,3-shift,680
S04371,K0437,temperate,medium,3-shift,140
S04381,K0438,hot,high,1-shift,1640
S04391,K0439,temperate,medium,1-shift,1390
S04392,K0439,hot,low,2-shift,580
S04401,K0440,temperate,high,2-shift,1130
S04411,K0441,temperate,medium,3-shift,700
S04421,K0442,arctic,high,2-shift,270
S04422,K0442,temperate,medium,3-shift,760
S04431,K0443,temperate,high,1-shift,710
S04441,K0444,hot,high,1-shift,1510
S04451,K0445,temperate,medium,3-shift,1770
S04461,K0446,hot,medium,2-shift,660
S04471,K0447,temperate,high,1-shift,1740
S04472,K0447,temperate,medium,2-shift,1660
S04481,K0448,hot,low,2-shift,1480
S04482,K0448,temperate,medium,3-shift,20
S04491,K0449,temperate,medium,3-shift,1650
S04492,K0449,arctic,medium,3-shift,1420
S04493,K0449,temperate,medium,2-shift,1280
S04501,K0450,temperate,low,1-shift,1400
S04511,K0451,temperate,low,2-shift,1140
S04512,K0451,temperate,low,1-shift,680
S04521,K0452,temperate,high,2-shift,310
S04522,K0452,temperate,medium,3-shift,150
S04523,K0452,temperate,high,2-shift,390
S04531,K0453,temperate,high,2-shift,820
S04541,K0454,hot,low,2-shift,710
S04551,K0455,arctic,medium,1-shift,1390
S04561,K0456,hot,medium,1-shift,140
S04562,K0456,temperate,low,1-shift,1650
S04571,K0457,temperate,high,2-shift,1310
S04572,K0457,temperate,low,1-shift,1740
S04581,K0458,arctic,medium,3-shift,1660
S04591,K0459,arctic,medium,2-shift,640
S04601,K0460,temperate,low,1-shift,600
S04602,K0460,temperate,low,2-shift,1470
S04611,K0461,temperate,medium,2-shift,140
S04612,K0461,hot,high,1-shift,840
S04613,K0461,hot,high,2-shift,470
S04621,K0462,arctic,high,3-shift,1650
S04622,K0462,temperate,high,1-shift,810
S04623,K0462,temperate,low,2-shift,490
S04631,K0463,temperate,high,3-shift,1580
S04632,K0463,arctic,low,3-shift,1390
S04641,K0464,temperate,low,1-shift,1370
S04651,K0465,temperate,low,1-shift,130
S04661,K0466,hot,low,3-shift,1350
S04671,K0467,temperate,high,3-shift,470
S04672,K0467,temperate,low,2-shift,950
S04673,K0467,temperate,high,1-shift,210
S04681,K0468,temperate,high,1-shift,140
S04691,K0469,temperate,medium,1-shift,1440
S04692,K0469,temperate,high,1-shift,1330
S04701,K0470,temperate,low,1-shift,1390
S04711,K0471,hot,medium,3-shift,1150
S04712,K0471,hot,high,2-shift,1700
S04721,K0472,hot,low,3-shift,420
S04731,K0473,hot,medium,3-shift,1060
S04732,K0473,hot,medium,2-shift,1720
S04733,K0473,hot,high,3-shift,290
S04741,K0474,hot,low,3-shift,70
S04751,K0475,temperate,high,2-shift,210
S04761,K0476,temperate,medium,3-shift,140
S04771,K0477,temperate,high,2-shift,1720
S04781,K0478,hot,medium,1-shift,290
S04782,K0478,hot,high,1-shift,840
S04783,K0478,temperate,high,2-shift,650
S04791,K0479,hot,medium,3-shift,240
S04801,K0480,hot,medium,1-shift,1220
S04811,K0481,temperate,low,1-shift,210
S04812,K0481,temperate,medium,2-shift,1340
S04813,K0481,temperate,high,1-shift,750
S04821,K0482,hot,medium,2-shift,1110
S04831,K0483,hot,low,2-shift,470
S04841,K0484,hot,low,1-shift,610
S04851,K0485,temperate,medium,3-shift,320
S04852,K0485,temperate,low,3-shift,170
S04853,K0485,temperate,medium,3-shift,560
S04861,K0486,hot,low,2-shift,610
S04862,K0486,hot,medium,1-shift,330
S04863,K0486,temperate,high,3-shift,1430
S04871,K0487,arctic,low,1-shift,370
S04872,K0487,hot,medium,3-shift,920
S04881,K0488,temperate,high,1-shift,1460
S04891,K0489,hot,medium,1-shift,1750
S04901,K0490,hot,high,2-shift,970
S04902,K0490,hot,high,3-shift,1790
S04911,K0491,temperate,high,3-shift,380
S04921,K0492,temperate,low,2-shift,1620
S04922,K0492,temperate,medium,3-shift,1500
S04931,K0493,arctic,high,2-shift,830
S04932,K0493,temperate,high,1-shift,600
S04941,K0494,temperate,high,2-shift,730
S04951,K0495,hot,low,1-shift,1420
S04961,K0496,temperate,medium,3-shift,50
S04971,K0497,hot,medium,3-shift,210
S04972,K0497,hot,high,1-shift,1770
S04981,K0498,temperate,high,1-shift,960
S04991,K0499,hot,medium,1-shift,300
S05001,K0500,temperate,low,3-shift,530
S05011,K0501,hot,medium,3-shift,1560
S05012,K0501,hot,medium,2-shift,630
S05021,K0502,temperate,medium,2-shift,1400
S05031,K0503,temperate,high,3-shift,780
S05032,K0503,arctic,high,2-shift,100
S05041,K0504,temperate,low,1-shift,1640
S05051,K0505,hot,medium,3-shift,120
S05061,K0506,hot,medium,3-shift,580
S05062,K0506,hot,medium,2-shift,950
S05063,K0506,temperate,high,3-shift,890
S05071,K0507,hot,low,2-shift,80
S05081,K0508,temperate,low,3-shift,1240
S05082,K0508,temperate,low,2-shift,1100
S05091,K0509,temperate,medium,2-shift,130
S05092,K0509,temperate,low,3-shift,830
S05093,K0509,temperate,high,2-shift,1310
S05101,K0510,hot,medium,2-shift,1330
S05102,K0510,hot,medium,1-shift,500
S05111,K0511,hot,high,3-shift,1350
S05112,K0511,hot,medium,1-shift,310
S05121,K0512,hot,medium,1-shift,1340
S05131,K0513,temperate,medium,1-shift,220
S05141,K0514,hot,high,2-shift,660
S05151,K0515,hot,high,1-shift,1580
S05152,K0515,hot,medium,3-shift,1690
S05161,K0516,temperate,medium,3-shift,1790
S05162,K0516,temperate,medium,1-shift,850
S05171,K0517,hot,high,2-shift,1550
S05172,K0517,hot,low,1-shift,380
S05181,K0518,hot,medium,1-shift,430
S05191,K0519,hot,medium,3-shift,530
S05201,K0520,temperate,high,3-shift,1710
S05202,K0520,temperate,high,3-shift,230
